N,gamma,R2
2,0.027375746949099222,1.0
3,0.01632500515533091,1.0
4,0.010271980289587231,1.0
5,0.006940083667181101,1.0
6,0.004961927053705351,1.0
7,0.003706632433283684,1.0
8,0.0028660608318741556,1.0
9,0.002278240958639359,1.0
10,0.0018523253764310996,1.0
11,0.001534496385330387,1.0
12,0.0012913737940411774,1.0
13,0.001101431805079361,1.0
14,0.0009503186830643509,1.0
15,0.0008281859956743423,1.0
16,0.0007281034082269103,1.0
