N,gamma,R2
2,0.15022545101491944,1.0
3,0.10010013353367075,1.0
4,0.07505630631336273,1.0
5,0.06003602882592949,1.0
6,0.050025016679154384,1.0
7,0.04287552070643996,1.0
8,0.037514069535196426,1.0
9,0.03334444938518944,1.0
10,0.030009003601633926,1.0
11,0.027280167995111713,1.0
12,0.025006252084131684,1.0
13,0.023082250159898333,1.0
14,0.021433164577701606,1.0
15,0.020004001067002727,1.0
16,0.018753516504171303,1.0
