state,theta,T_us,n,parity_abs,omega_rad_s,Gamma_raw
GHZ,0.7853981633974483,3.5,5,0.8916015625,4487989.505128276,32781.692858424176
PRODUCT,0.7853981633974483,3.5,5,0.7421875,4487989.505128276,85186.67780545038
GHZ,0.7853981633974483,3.5,6,0.8994140625,5385587.406153931,30289.076955470355
PRODUCT,0.7853981633974483,3.5,6,0.71875,5385587.406153931,94354.76767730768
GHZ,0.7853981633974483,3.5,8,0.8876953125,7180783.208205242,34036.203263421216
PRODUCT,0.7853981633974483,3.5,8,0.748046875,7180783.208205242,82939.8959596748
GHZ,0.7853981633974483,3.5,10,0.8837890625,8975979.010256551,35296.24625700771
PRODUCT,0.7853981633974483,3.5,10,0.74609375,8975979.010256551,83686.86183798074
GHZ,0.7853981633974483,4.5,1,0.8671875,698131.7007977318,31666.68057939623
PRODUCT,0.7853981633974483,4.5,1,0.697265625,698131.7007977318,80130.8540577486
GHZ,0.7853981633974483,4.5,2,0.8564453125,1396263.4015954635,34436.625161615564
PRODUCT,0.7853981633974483,4.5,2,0.7158203125,1396263.4015954635,74294.6897139559
GHZ,0.7853981633974483,4.5,3,0.8798828125,2094395.1023931955,28437.01066469226
PRODUCT,0.7853981633974483,4.5,3,0.6923828125,2094395.1023931955,81692.50645940569
GHZ,0.7853981633974483,4.5,4,0.8818359375,2792526.803190927,27944.2782627706
PRODUCT,0.7853981633974483,4.5,4,0.6806640625,2792526.803190927,85485.86551976204
GHZ,0.7853981633974483,4.5,5,0.875,3490658.503988659,29673.64280544947
PRODUCT,0.7853981633974483,4.5,5,0.6728515625,3490658.503988659,88051.22990795434
GHZ,0.7853981633974483,4.5,6,0.8603515625,4188790.204786391,33425.37325850524
PRODUCT,0.7853981633974483,4.5,6,0.6826171875,4188790.204786391,84849.12519236507
GHZ,0.7853981633974483,4.5,8,0.859375,5585053.606381854,33677.75513937799
PRODUCT,0.7853981633974483,4.5,8,0.7265625,5585053.606381854,70984.61572585805
GHZ,0.7853981633974483,4.5,10,0.861328125,6981317.007977318,33173.277687258174
PRODUCT,0.7853981633974483,4.5,10,0.7255859375,6981317.007977318,71283.5024181542
GHZ,0.5235987755982988,2.5,1,0.796875,1256637.0614359174,90822.98025413844
PRODUCT,0.5235987755982988,2.5,1,0.5595703125,1256637.0614359174,232234.43555388544
GHZ,0.5235987755982988,2.5,2,0.810546875,2513274.122871835,84018.4419235238
PRODUCT,0.5235987755982988,2.5,2,0.521484375,2513274.122871835,260430.38665570333
GHZ,0.5235987755982988,2.5,3,0.7861328125,3769911.184307752,96251.8112723559
PRODUCT,0.5235987755982988,2.5,3,0.5302734375,3769911.184307752,253744.9942662071
GHZ,0.5235987755982988,2.5,4,0.7978515625,5026548.24574367,90333.08429578008
PRODUCT,0.5235987755982988,2.5,4,0.52734375,5026548.24574367,255961.0664164532
GHZ,0.5235987755982988,2.5,5,0.794921875,6283185.307179587,91804.57583876511
PRODUCT,0.5235987755982988,2.5,5,0.537109375,6283185.307179587,248621.4109491746
GHZ,0.5235987755982988,2.5,6,0.779296875,7539822.368615504,99745.28325985774
PRODUCT,0.5235987755982988,2.5,6,0.5283203125,7539822.368615504,255221.01070118864
GHZ,0.5235987755982988,2.5,8,0.7978515625,10053096.49148734,90333.08429578008
PRODUCT,0.5235987755982988,2.5,8,0.5048828125,10053096.49148734,273371.5724364096
GHZ,0.5235987755982988,2.5,10,0.751953125,12566370.614359174,114032.51630068944
PRODUCT,0.5235987755982988,2.5,10,0.537109375,12566370.614359174,248621.4109491746
GHZ,0.5235987755982988,3.5,1,0.7744140625,897597.9010256552,73042.45256131575
PRODUCT,0.5235987755982988,3.5,1,0.50390625,897597.9010256552,195818.5828908258
GHZ,0.5235987755982988,3.5,2,0.7587890625,1795195.8020513104,78866.1300662302
PRODUCT,0.5235987755982988,3.5,2,0.427734375,1795195.8020513104,242643.68434943052
GHZ,0.5235987755982988,3.5,3,0.7822265625,2692793.7030769656,70174.53100888396
PRODUCT,0.5235987755982988,3.5,3,0.486328125,2692793.7030769656,205963.3510213715
GHZ,0.5235987755982988,3.5,4,0.783203125,3590391.604102621,69818.05649512532
PRODUCT,0.5235987755982988,3.5,4,0.4892578125,3590391.604102621,204247.34414702523
GHZ,0.5235987755982988,3.5,5,0.76953125,4487989.505128276,74849.63306902113
PRODUCT,0.5235987755982988,3.5,5,0.4912109375,4487989.505128276,203109.03871420395
GHZ,0.5235987755982988,3.5,6,0.78515625,5385587.406153931,69106.43897728193
PRODUCT,0.5235987755982988,3.5,6,0.4716796875,5385587.406153931,214701.47198482297
GHZ,0.5235987755982988,3.5,8,0.78125,7180783.208205242,70531.4508375788
PRODUCT,0.5235987755982988,3.5,8,0.5205078125,7180783.208205242,186557.25183817383
GHZ,0.5235987755982988,3.5,10,0.7685546875,8975979.010256551,75212.44490915712
PRODUCT,0.5235987755982988,3.5,10,0.4599609375,8975979.010256551,221889.63188086727
GHZ,0.5235987755982988,4.5,1,0.7763671875,698131.7007977318,56251.04243224916
PRODUCT,0.5235987755982988,4.5,1,0.44921875,698131.7007977318,177832.29247029164
GHZ,0.5235987755982988,4.5,2,0.7470703125,1396263.4015954635,64799.10483842605
PRODUCT,0.5235987755982988,4.5,2,0.4306640625,1396263.4015954635,187205.98447835716
GHZ,0.5235987755982988,4.5,3,0.755859375,2094395.1023931955,62199.98489105021
PRODUCT,0.5235987755982988,4.5,3,0.458984375,2094395.1023931955,173053.13575452197
GHZ,0.5235987755982988,4.5,4,0.759765625,2792526.803190927,61054.5069824581
PRODUCT,0.5235987755982988,4.5,4,0.451171875,2792526.803190927,176868.20322615872
GHZ,0.5235987755982988,4.5,5,0.77734375,3490658.503988659,55971.69327890446
PRODUCT,0.5235987755982988,4.5,5,0.4521484375,3490658.503988659,176387.72255849311
GHZ,0.5235987755982988,4.5,6,0.7333984375,4188790.204786391,68903.58974118184
PRODUCT,0.5235987755982988,4.5,6,0.4033203125,4188790.204786391,201783.1583640934
GHZ,0.5235987755982988,4.5,8,0.7392578125,5585053.606381854,67135.23381377874
PRODUCT,0.5235987755982988,4.5,8,0.47265625,5585053.606381854,166530.4219739603
GHZ,0.5235987755982988,4.5,10,0.7421875,6981317.007977318,66256.30495979474
PRODUCT,0.5235987755982988,4.5,10,0.455078125,6981317.007977318,174952.48254973494
GHZ,0.7853981633974483,2.5,1,0.8837890625,1256637.0614359174,49414.7447598108
PRODUCT,0.7853981633974483,2.5,1,0.7783203125,1256637.0614359174,100246.85072369524
GHZ,0.7853981633974483,2.5,2,0.8876953125,2513274.122871835,47650.68456878971
PRODUCT,0.7853981633974483,2.5,2,0.751953125,2513274.122871835,114032.51630068944
GHZ,0.7853981633974483,2.5,3,0.90234375,3769911.184307752,41103.89358310758
PRODUCT,0.7853981633974483,2.5,3,0.76953125,3769911.184307752,104789.4862966296
GHZ,0.7853981633974483,2.5,4,0.884765625,5026548.24574367,48972.99982258951
PRODUCT,0.7853981633974483,2.5,4,0.76171875,5026548.24574367,108871.15436632629
GHZ,0.7853981633974483,2.5,5,0.896484375,6283185.307179587,43709.76599158506
PRODUCT,0.7853981633974483,2.5,5,0.763671875,6283185.307179587,107846.82602165682
GHZ,0.7853981633974483,2.5,6,0.89453125,7539822.368615504,44582.176370129135
PRODUCT,0.7853981633974483,2.5,6,0.751953125,7539822.368615504,114032.51630068944
GHZ,0.7853981633974483,2.5,8,0.90234375,10053096.49148734,41103.89358310758
PRODUCT,0.7853981633974483,2.5,8,0.7705078125,10053096.49148734,104282.19390143156
GHZ,0.7853981633974483,2.5,10,0.8955078125,12566370.614359174,44145.7333371953
PRODUCT,0.7853981633974483,2.5,10,0.7646484375,12566370.614359174,107335.64384346
GHZ,0.7853981633974483,3.5,1,0.8896484375,897597.9010256552,33408.259525569934
PRODUCT,0.7853981633974483,3.5,1,0.734375,897597.9010256552,88210.13761417523
GHZ,0.7853981633974483,3.5,2,0.861328125,1795195.8020513104,42651.3570264748
PRODUCT,0.7853981633974483,3.5,2,0.716796875,1795195.8020513104,95132.22199569644
GHZ,0.7853981633974483,3.5,3,0.8818359375,2692793.7030769656,35928.357766419336
PRODUCT,0.7853981633974483,3.5,3,0.7421875,2692793.7030769656,85186.67780545038
GHZ,0.7853981633974483,3.5,4,0.88671875,3590391.604102621,34350.693428045655
PRODUCT,0.7853981633974483,3.5,4,0.705078125,3590391.604102621,99841.90477332196
GHZ,0.7853981633974483,3.5,5,0.8994140625,4487989.505128276,30289.076955470355
PRODUCT,0.7853981633974483,3.5,5,0.73828125,4487989.505128276,86694.40840569146
GHZ,0.7853981633974483,3.5,6,0.8876953125,5385587.406153931,34036.203263421216
PRODUCT,0.7853981633974483,3.5,6,0.7646484375,5385587.406153931,76668.31703104285
GHZ,0.7853981633974483,3.5,8,0.87890625,7180783.208205242,36879.15493575496
PRODUCT,0.7853981633974483,3.5,8,0.740234375,7180783.208205242,85939.54855916613
GHZ,0.7853981633974483,3.5,10,0.8857421875,8975979.010256551,34665.53013837614
PRODUCT,0.7853981633974483,3.5,10,0.716796875,8975979.010256551,95132.22199569644
GHZ,0.7853981633974483,4.5,1,0.888671875,698131.7007977318,26228.268019679414
PRODUCT,0.7853981633974483,4.5,1,0.7041015625,698131.7007977318,77962.81518100089
GHZ,0.7853981633974483,4.5,2,0.845703125,1396263.4015954635,37241.53267489287
PRODUCT,0.7853981633974483,4.5,2,0.6416015625,1396263.4015954635,98619.5082477428
GHZ,0.7853981633974483,4.5,3,0.8740234375,2094395.1023931955,29921.79718324394
PRODUCT,0.7853981633974483,4.5,3,0.6728515625,2094395.1023931955,88051.22990795434
GHZ,0.7853981633974483,4.5,4,0.8671875,2792526.803190927,31666.68057939623
PRODUCT,0.7853981633974483,4.5,4,0.6865234375,2792526.803190927,83581.09195306404
GHZ,0.7853981633974483,4.5,5,0.8583984375,3490658.503988659,33930.42398095025
PRODUCT,0.7853981633974483,4.5,5,0.7021484375,3490658.503988659,78580.09952853476
GHZ,0.7853981633974483,4.5,6,0.876953125,4188790.204786391,29178.16384383411
PRODUCT,0.7853981633974483,4.5,6,0.755859375,4188790.204786391,62199.98489105021
GHZ,0.7853981633974483,4.5,8,0.8720703125,5585053.606381854,30418.938827323123
PRODUCT,0.7853981633974483,4.5,8,0.779296875,5585053.606381854,55414.04625547652
GHZ,0.7853981633974483,4.5,10,0.853515625,6981317.007977318,35198.09554309281
PRODUCT,0.7853981633974483,4.5,10,0.7685546875,6981317.007977318,58498.56826267775
GHZ,0.5235987755982988,2.5,1,0.76953125,1256637.0614359174,104789.4862966296
PRODUCT,0.5235987755982988,2.5,1,0.416015625,1256637.0614359174,350812.9837320331
GHZ,0.5235987755982988,2.5,2,0.7734375,2513274.122871835,102764.16551401088
PRODUCT,0.5235987755982988,2.5,2,0.3798828125,2513274.122871835,387156.9847924027
GHZ,0.5235987755982988,2.5,3,0.7880859375,3769911.184307752,95259.25493180173
PRODUCT,0.5235987755982988,2.5,3,0.474609375,3769911.184307752,298105.2726795837
GHZ,0.5235987755982988,2.5,4,0.75390625,5026548.24574367,112994.90222987076
PRODUCT,0.5235987755982988,2.5,4,0.4140625,5026548.24574367,352695.3401469982
GHZ,0.5235987755982988,2.5,5,0.7451171875,6283185.307179587,117685.50972599845
PRODUCT,0.5235987755982988,2.5,5,0.47265625,6283185.307179587,299754.75955312856
GHZ,0.5235987755982988,2.5,6,0.75,7539822.368615504,115072.82898071237
PRODUCT,0.5235987755982988,2.5,6,0.3955078125,7539822.368615504,371033.8953971656
GHZ,0.5235987755982988,2.5,8,0.765625,10053096.49148734,106825.1140996181
PRODUCT,0.5235987755982988,2.5,8,0.3984375,10053096.49148734,368081.8524781166
GHZ,0.5235987755982988,2.5,10,0.7607421875,12566370.614359174,109384.30389148192
PRODUCT,0.5235987755982988,2.5,10,0.4140625,12566370.614359174,352695.3401469982
GHZ,0.5235987755982988,3.5,1,0.7353515625,897597.9010256552,87830.45079987416
PRODUCT,0.5235987755982988,3.5,1,0.4658203125,897597.9010256552,218272.94706031767
GHZ,0.5235987755982988,3.5,2,0.75,1795195.8020513104,82194.87784336598
